
SWEPT_VAR_1 = 75.0    // Syn: Source PP \ NetStim \ PARAMETER \ interval (ms)

t	s.v( 0.05 )
ms	mV
384.4   	-78.05  
384.8   	-79.1   
385.2   	-79.76  
385.6   	-80.2   
386     	-80.48  
386.4   	-80.69  
386.8   	-80.83  
387.2   	-80.93  
387.6   	-81     
388     	-81.05  
388.4   	-81.08  
388.8   	-81.11  
389.2   	-81.12  
389.6   	-81.13  
390     	-81.14  
390.4   	-81.13  
390.8   	-81.12  
391.2   	-81.1   
391.6   	-81.08  
392     	-81.06  
392.4   	-81.03  
392.8   	-81.01  
393.2   	-80.98  
393.6   	-80.94  
394     	-80.9   
394.4   	-80.86  
394.8   	-80.83  
395.2   	-80.79  
395.6   	-80.75  
396     	-80.71  
396.4   	-80.67  
396.8   	-80.64  
397.2   	-80.6   
397.6   	-80.57  
398     	-80.55  
398.4   	-80.52  
398.8   	-80.51  
399.2   	-80.49  
399.6   	-80.48  
400     	-80.48  
400.4   	-80.48  
400.8   	-80.48  
401.2   	-80.49  
401.6   	-80.49  
402     	-80.5   
402.4   	-80.5   
402.8   	-80.49  
403.2   	-80.47  
403.6   	-80.3   
404     	-79.74  
404.4   	-78.06  
404.8   	-71.47  
405.2   	-46.15  
405.6   	39.84   
406     	39.19   
406.4   	24.18   
406.8   	6.435   
407.2   	-11.26  
407.6   	-29.68  
408     	-48.09  
408.4   	-61.89  
408.8   	-69.96  
409.2   	-74.45  
409.6   	-76.99  
410     	-78.48  
410.4   	-79.39  
410.8   	-79.98  
411.2   	-80.39  
411.6   	-80.68  
412     	-80.89  
412.4   	-81.06  
412.8   	-81.19  
413.2   	-81.31  
413.6   	-81.4   
414     	-81.48  
414.4   	-81.55  
414.8   	-81.61  
415.2   	-81.66  
415.6   	-81.7   
416     	-81.73  
416.4   	-81.76  
416.8   	-81.78  
417.2   	-81.81  
417.6   	-81.83  
418     	-81.85  
418.4   	-81.86  
418.8   	-81.88  
419.2   	-81.9   
419.6   	-81.91  
420     	-81.93  
420.4   	-81.95  
420.8   	-81.96  
421.2   	-81.98  
421.6   	-81.99  
422     	-82.01  
422.4   	-82.02  
422.8   	-82.04  
423.2   	-82.06  
423.6   	-82.07  
424     	-82.09  
424.4   	-82.09  
424.8   	-82.08  
425.2   	-82.08  
425.6   	-82.08  
426     	-82.07  
426.4   	-82.06  
426.8   	-82.05  
427.2   	-82.03  
427.6   	-82.01  
